#{"t_start": 1764136921.485908, "env_id": "CityDrone-v0"}
r,l,t
-64.746274,29,40.653415
-149.260503,213,40.88134
-51.924038,5,40.886807
-191.49902,204,41.095729
-57.65314,16,41.112176
-51.8,5,41.117574
-54.3,7,41.124931
-125.765413,159,41.290736
-70.258053,34,41.329328
-51.874126,5,42.049595
-77.739859,49,42.100607
-53.2,4,42.10506
-57.799614,50,42.158958
-52.5,3,42.162404
-84.942336,85,42.250628
-114.899495,99,42.350914
-50.8,2,42.353404
-135.582835,203,43.524274
-54.3,7,43.531707
-67.568359,28,43.560223
-55.3,7,43.567636
-50.8,2,43.570064
-50.1,1,43.571467
-51.5,3,43.575149
-55.162019,19,43.594899
-50.858322,2,43.597319
-63.635942,34,43.632621
-85.71973,69,43.705209
-61.164414,46,43.752559
-107.914835,123,43.878085
-86.658895,75,43.954139
-55.731448,10,43.964589
-64.312956,30,43.995165
-50.912956,6,44.001501
-95.198529,43,44.880323
-50.1,1,44.8819
-157.409044,211,45.102228
-83.978569,67,45.171703
-185.806079,180,45.36475
-69.086833,31,45.404424
-160.491918,60,45.466436
-55.868552,10,45.476958
-205.819544,216,45.706333
-57.298246,15,45.72196
-110.437601,130,45.859672
-63.919848,36,45.896291
-68.798982,30,45.927092
-69.140823,48,46.763028
-54.518724,19,46.782897
-61.769531,12,46.795812
-73.214835,43,46.842291
-52.108585,13,46.856037
-50.1,1,46.857429
-81.551795,83,46.944278
-69.079249,51,46.998029
-49.074163,7,47.005509
-52.0,10,47.015902
-59.330952,13,47.029227
-72.431448,42,47.072386
-50.8,2,47.074801
-98.245197,124,48.162068
-56.488726,19,48.181748
-55.213855,15,48.197214
-51.1,4,48.201636
-91.013815,89,48.292487
-51.1,4,48.297908
-97.386145,97,48.397524
-52.2,4,48.402082
-51.017237,4,48.406663
-53.392022,7,48.414085
-50.824929,13,48.427731
-50.8,2,48.430238
-78.905085,106,48.544039
-50.8,2,48.546461
-51.24071,5,48.551881
-50.263741,4,48.556301
-54.9,5,48.561719
-52.8,5,48.567151
-50.4,3,48.570554
-266.32967,107,48.67966
-57.898979,14,48.695734
-121.963932,162,49.714986
-53.301615,16,49.731823
-50.1,1,49.733251
-52.698253,7,49.74069
-50.8,2,49.743082
-60.88909,56,49.801313
-59.247739,29,49.831749
-50.1,1,49.833166
-65.51175,30,49.863952
-62.32041,41,49.905855
-93.739392,62,49.969576
-54.9,8,49.977996
-62.933222,41,50.019967
-71.330189,32,50.054244
-96.85047,118,50.176185
-49.706873,5,50.181626
-48.795414,2,50.184058
-50.1,1,50.185464
-85.078586,69,50.257014
-80.717557,23,50.281626
-62.66986,28,50.310663
-59.303124,20,50.331412
-51.8,2,50.333846
-62.8,24,50.358215
-50.1,1,50.359618
-101.123096,146,50.511188
-65.549751,29,50.540419
-53.2,4,50.545199
-50.8,2,50.547699
-72.685281,19,50.568054
-50.1,1,50.569504
-51.5,3,50.572985
-50.528392,9,50.58304
-50.1,1,50.584524
-54.097225,49,51.491797
-61.3,28,51.52534
-75.502208,62,51.593994
-59.114214,15,51.609555
-54.6,9,51.618903
-56.9,11,51.630255
-57.0,11,51.64254
-50.8,2,51.645024
59.055385,120,51.769102
-59.974771,18,51.787681
-52.2,4,51.792065
-50.1,1,51.793458
-50.8,2,51.795859
-55.958053,13,51.80934
-50.1,1,51.810732
-94.8,91,51.903005
-56.0471,18,51.921578
-76.502466,19,51.940934
-59.4,16,51.957243
-58.7,18,51.975985
-50.8,2,51.97842
-52.202258,7,51.985871
-57.098246,47,52.982644
-59.974964,28,53.01136
-50.1,1,53.012778
-55.511508,22,53.035608
-52.2,4,53.040008
-50.1,1,53.041404
-85.7,76,53.119329
-50.597411,6,53.125709
-52.5,3,53.129104
-52.092154,11,53.140936
-67.882099,49,53.194619
-51.637142,6,53.201928
-56.023106,17,53.219639
-51.891609,6,53.226043
-50.1,1,53.227585
-57.989516,18,53.246188
-52.9,5,53.251554
-48.227864,2,53.25396
-123.156574,20,53.274474
-51.5,3,53.278173
-56.0,8,53.286605
-50.8,2,53.289
-51.1,7,53.298264
-50.1,1,53.299787
-50.1,1,53.301244
-53.391203,7,53.309081
-51.587555,10,53.319757
-68.036068,47,53.367532
-50.1,1,53.368951
-50.1,1,53.370339
-51.26986,5,53.375678
-50.8,2,53.37806
-58.846502,20,53.398272
-53.56986,10,53.409084
-50.8,2,53.411473
-53.995983,9,53.420882
-51.1,1,53.422303
-51.5,3,53.425675
-72.645523,39,53.46524
-57.205551,18,53.483782
-50.1,1,53.485264
-50.1,1,54.329894
-50.8,2,54.332448
-106.416294,85,54.422745
-50.1,1,54.424195
-52.2,4,54.428582
-53.662278,6,54.435021
-59.958405,7,54.442468
-55.382446,14,54.457128
-51.5,3,54.460514
100.7,2,54.462951
-78.943607,57,54.520216
-51.5,3,54.523619
-50.8,2,54.526004
-50.8,2,54.528392
-119.236068,161,54.696671
-60.560413,16,54.714084
-54.246505,34,54.749585
-53.113521,11,54.761271
-63.655053,25,54.78679
-49.954213,3,54.790189
-61.103878,50,54.842102
-55.7,23,54.865565
-72.47208,43,54.90946
-51.5,3,54.912848
-60.523106,30,54.944387
-52.106873,10,54.954888
-52.2,4,54.959449
-146.054762,61,55.023583
-58.936068,12,55.035976
-75.693346,63,55.102009
-50.491559,7,55.109448
-124.33014,185,55.302299
-50.956493,11,55.313782
-185.882763,89,56.174664
-52.9,5,56.180074
-56.04071,12,56.193652
-54.9,11,56.20589
-50.1,1,56.207329
-62.347992,33,56.24263
-49.866557,5,56.24848
-54.9,14,56.263034
-66.837722,61,56.328551
-52.9,5,56.333937
-94.324555,98,56.436883
-50.1,1,56.438298
-54.511378,7,56.44592
-52.2,4,56.450305
-53.738326,12,56.462615
-69.783271,52,56.517444
-54.425441,11,56.529508
-50.1,1,56.530938
-66.8,30,56.567176
-65.381595,66,56.636221
-51.502208,5,56.641775
-51.1,4,56.646188
-53.075181,14,56.660494
-49.316625,7,56.667887
-50.8,2,56.670511
-50.8,2,56.673246
-62.231653,19,56.693311
-60.441926,25,57.673383
-54.6,9,57.68295
-50.1,1,57.684421
-56.102258,14,57.699132
-50.1,1,57.700577
-94.229964,15,57.717599
-55.316351,17,57.735278
-50.8,2,57.737723
-55.8,11,57.749151
-50.8,2,57.751599
-52.021063,6,57.758053
-60.9,23,57.783059
-50.1,1,57.784473
-51.662278,6,57.790878
-58.355136,24,57.816089
-51.5,3,57.819517
-55.279766,16,57.836111
-50.1,1,57.83752
-59.333462,17,57.855051
-49.718483,6,57.862017
-52.844445,11,57.873429
-50.8,2,57.875832
-50.1,1,57.877232
-54.532024,12,57.889596
-51.5,3,57.892955
-105.28132,49,57.942993
-74.456185,51,57.99531
-49.673618,3,57.998734
-55.3,7,58.006196
-55.371573,13,58.0195
-50.1,1,58.020898
-51.853348,4,58.025313
-50.8,2,58.027687
-59.921505,37,58.066996
-50.8,2,58.069416
-71.368359,58,58.128694
-60.260609,24,58.153491
-53.365666,8,58.161879
-82.903835,111,59.122589
-52.717237,5,59.128153
-52.9,5,59.133552
-172.947387,216,59.357443
-50.1,1,59.358867
-51.5,6,59.366295
-54.8,11,59.377632
-50.186786,3,59.380997
-56.5,12,59.393299
-65.729473,81,59.476411
-56.094449,12,59.488735
-50.1,1,59.490145
-51.993519,5,59.495536
-50.1,1,59.496931
-56.45047,36,59.533717
-49.517986,3,59.537108
-54.6,6,59.543481
-51.749751,6,59.55004
-49.417699,3,59.553664
-53.2,7,59.562126
