#{"t_start": 1764136535.040021, "env_id": "CityDrone-v0"}
r,l,t
-50.10551,4,16.891235
-59.428038,19,16.899616
-88.586192,33,16.914429
-62.291203,17,16.922196
-54.594463,10,16.92909
-53.2,4,16.930985
-50.1,1,16.931729
-50.8,2,16.932815
-60.1,11,16.938883
-50.4,3,16.940415
-64.782763,21,16.950127
-50.1,1,16.950835
-50.1,1,16.952628
-54.26337,8,16.956221
-54.2,4,16.958126
-58.535346,13,16.963877
-48.919544,2,16.966024
-50.8,2,16.967156
-55.049876,8,16.970921
-50.8,2,16.971995
-57.601018,13,16.978694
-50.1,1,16.979455
-52.217986,4,16.981449
-77.023454,8,16.985386
-50.1,1,16.987173
-51.56262,5,16.989521
-52.066019,6,16.992227
-50.839841,2,16.993288
-50.8,2,16.995387
-54.3,7,16.998493
-64.591796,12,17.004031
-49.669349,3,17.005559
-52.236934,5,17.008839
-50.1,1,17.009592
-51.830004,6,17.012285
-116.429247,31,17.025872
-52.797954,8,17.030368
-51.5,3,17.031883
-54.6,6,17.034489
-49.063258,7,17.037802
-58.852624,21,17.047748
-51.8,2,17.049074
-63.84264,18,17.057011
-277.766162,243,17.160984
-50.1,1,17.163476
-52.5,3,17.165219
-52.3314,8,17.168834
-52.9,5,17.171086
-50.737941,7,17.175758
-56.3,10,17.179995
-62.267669,6,17.182819
-50.855728,2,17.184019
-50.8,2,17.186527
-67.33117,22,17.19615
-64.172136,24,18.402265
-64.327426,25,18.413807
-51.8,2,18.416612
-56.671068,9,18.420825
-50.8,2,18.421974
-50.4,3,18.423499
-53.5,6,18.427226
-54.9,8,18.430788
-50.1,1,18.431555
-53.9,5,18.434168
-54.5,9,18.439532
-50.8,2,18.440614
-51.5,3,18.442141
-72.803124,41,18.461127
-107.868359,95,18.503102
-53.2,7,18.50636
-52.9,5,18.508622
-50.279766,4,18.51046
-62.045361,23,18.52144
-65.817699,14,18.527626
-50.1,1,18.528376
-63.646324,19,18.536554
-51.562258,3,18.539718
-50.1,1,18.540535
-50.8,2,18.54175
-62.4,19,18.549775
-228.740893,239,18.654466
-50.35373,4,18.656427
-49.565021,2,18.65756
-267.530952,243,18.759242
-48.786971,2,18.762234
-51.416437,4,18.7643
-204.891622,231,19.612928
-59.236068,14,19.619873
-54.233462,5,19.623775
-50.1,1,19.624494
-51.5,3,19.625983
-49.482763,3,19.627497
-57.165183,17,19.636252
-51.5,3,19.637804
-52.359816,6,19.641145
-49.394449,4,19.643613
-53.24845,4,19.6467
-53.2,4,19.648739
-53.558207,5,19.651233
-63.592791,20,19.660028
-50.1,1,19.661806
-52.182781,8,19.665279
-51.8,5,19.667783
-54.958322,5,19.670387
-63.180363,17,19.678849
-50.1,1,19.679532
-64.9,21,19.689406
-71.650685,12,19.694511
-63.968359,15,19.701755
-52.548912,6,19.704885
-56.230961,11,19.709783
-51.8,5,19.712033
-62.5,16,19.720228
-184.232944,218,19.814151
-52.5,6,19.816803
-53.319535,4,19.818689
-50.1,1,19.820972
-50.8,2,19.822231
-50.1,1,19.822937
-70.0412,31,19.835663
-59.475226,11,19.842441
-59.923218,14,19.84872
-54.046257,5,19.851202
-52.991559,6,19.854024
-54.9,5,19.858064
-246.352946,241,19.976423
-221.545694,235,21.543905
-51.5,3,21.545446
-55.754347,9,21.551054
-124.960818,124,21.608193
-51.5,3,21.609743
-55.697133,9,21.613859
-54.931326,14,21.621075
-51.8,2,21.622263
-50.8,2,21.623427
-50.8,2,21.624575
-55.933981,12,21.63332
-54.143762,8,21.637113
-50.855385,2,21.638399
-222.267796,237,21.745426
-53.655385,6,21.750643
-52.232696,6,21.753507
-65.064337,25,21.764074
-263.914719,151,21.827678
-55.531179,13,21.834967
-60.4,13,21.840595
-67.390648,7,21.843813
-50.1,1,21.844487
-50.1,1,21.846501
-51.8,2,21.847675
-49.136934,2,21.848704
-256.191948,236,21.949709
-53.933462,6,21.954494
-50.1,1,21.955237
-100.778937,35,21.971568
-229.025364,231,22.817999
-51.5,3,22.82133
-316.529964,240,22.924343
99.0,3,22.925908
-56.963758,14,22.93163
-83.916987,15,22.939921
-62.123454,26,22.951085
-235.192699,241,23.053699
-51.5,3,23.055193
-52.333222,10,23.061326
-50.8,2,23.062588
-56.7,9,23.066453
-52.648845,6,23.069355
-50.858322,2,23.071613
-50.06442,7,23.07486
-50.8,2,23.075933
-51.692022,6,23.079167
-50.1,1,23.081071
-50.8,2,23.082388
-53.2,4,23.084646
-58.3,19,23.092671
-71.114835,8,23.097338
-56.096152,8,23.100937
-50.1,1,23.101719
-63.7,26,23.112785
-60.1,14,23.119817
-50.8,2,23.120885
-50.1,1,23.121561
-50.8,2,23.122696
-49.782781,3,23.125648
-55.559052,13,23.131238
-50.1,1,23.131926
-53.5,6,23.134657
-213.694804,223,24.42635
-52.903929,6,24.429081
-53.621057,7,24.432235
-50.8,2,24.433358
-66.231179,30,24.447576
-48.785079,5,24.449877
-216.378356,70,24.480378
-50.1,1,24.481195
-50.1,1,24.48312
-262.807936,244,24.588403
-54.08034,5,24.591021
-53.244632,4,24.593821
-50.1,1,24.596591
-50.824086,5,24.599141
-81.778569,55,24.62412
-54.2,4,24.626182
-50.1,1,24.62791
-62.0,20,24.636787
-58.694449,16,24.643923
-50.8,2,24.645029
-50.8,2,24.647397
-62.936314,22,24.657185
-61.458053,18,24.664748
-57.5,12,24.670312
-51.5,3,24.672979
-53.239223,7,24.676093
-57.931179,15,24.682475
-50.1,1,24.683222
-100.353169,21,24.693691
-52.295199,7,24.697061
-103.468552,57,24.721102
-50.1,1,24.721944
-50.1,1,24.723723
-51.516257,6,24.726554
-53.249629,7,24.729689
-50.1,1,24.730355
-50.8,2,24.732705
-53.2,4,24.735085
-51.562258,3,24.73658
-51.5,3,24.738538
-55.436106,7,24.743348
-60.354074,16,24.750037
-57.627952,18,24.758269
-54.378976,8,24.761744
-52.5,3,24.764231
-51.5,3,24.765763
-63.85267,18,24.774048
-50.8,2,24.775235
-54.9,5,24.778563
-87.6,36,24.793983
-53.2,4,24.795863
-50.404515,3,24.797375
-75.758899,47,24.818702
-50.1,1,24.819609
-52.676894,5,24.821974
-50.8,2,24.823169
-71.844632,33,25.797401
-53.555728,6,25.800122
-164.637116,53,25.823273
-66.536711,31,25.836174
-50.8,2,25.838919
-246.497959,229,25.936757
-58.004515,14,25.942615
-385.441353,233,26.049313
-56.338351,13,26.056908
-49.644615,2,26.058318
-51.1,1,26.059035
-51.536711,3,26.060559
-58.900799,22,26.071491
-51.163758,4,26.073955
-51.5,3,26.075428
-50.8,2,26.076533
-54.024038,5,26.080027
-58.909402,13,26.085866
-52.30098,12,26.091349
-57.785128,9,26.095305
-53.949876,8,26.09983
-49.60098,2,26.100971
-244.607919,247,26.209008
-53.370256,7,26.213412
-52.1,7,26.218447
-52.5,3,26.22007
-50.1,1,26.220749
-48.822748,2,26.221858
-61.622215,30,26.237276
-51.1,4,26.239465
-52.2,4,26.241348
-56.7,9,26.245138
-63.282763,22,26.871608
-51.458053,5,26.874019
-52.254074,4,26.87608
