#{"t_start": 1764241408.700037, "env_id": "CityDrone-v0"}
r,l,t
-43.561388,15,66.321831
-46.104902,12,66.335204
553.9,22,66.360593
-62.88932,25,66.387434
522.1,38,66.429035
560.05,19,66.449877
559.4,12,66.462977
-37.105711,17,66.481994
-49.931285,27,66.51119
-33.043657,7,66.518933
-251.00398,133,66.670689
525.800549,112,66.826448
-54.126926,17,66.845018
-29.303653,10,66.857563
-40.871849,17,66.878313
-35.115729,28,66.908895
-236.386767,178,67.172813
-31.333138,10,67.183819
-31.783023,21,67.205825
9.046465,90,67.300175
35.56812,104,67.412181
-36.417136,9,67.421907
-52.788962,16,67.439265
-23.738663,12,67.452537
-305.887377,415,69.091282
22.081242,39,69.167673
-39.045241,24,69.194913
-1.501049,23,69.222272
3.128151,27,69.253432
517.211388,12,69.269001
-29.802186,8,69.279589
-50.05,1,69.281129
19.300902,81,69.387881
-263.98034,206,69.622284
-49.177071,34,69.659189
25.538208,83,69.746625
8.85,13,69.760558
-50.05,1,69.762025
-25.325001,10,69.772525
-101.816391,74,69.851278
-64.36523,9,69.861015
-27.991586,95,69.960734
-29.028488,13,69.974629
-10.720518,21,69.997222
511.98034,4,70.00201
-25.105698,4,70.00678
517.4,12,70.019503
-23.67207,8,70.028411
512.85,3,70.03237
-49.95,9,70.053844
-40.48034,6,70.061585
-133.128488,35,70.098978
-64.483809,36,70.139719
-50.05,1,70.141179
-27.203075,6,70.150161
-120.83034,43,70.200489
8.021308,53,70.280946
-60.918952,41,70.346461
-6.692027,18,70.367581
-58.754963,42,70.412719
-15.85,77,70.510179
-41.353306,13,70.526465
-31.188711,10,70.538094
-34.134379,23,70.566018
-51.1,2,70.569338
-5.923074,24,70.598896
-24.66039,16,70.618896
557.15,17,70.6379
-51.1,2,70.640416
-14.644169,15,70.657871
-78.296925,24,70.6835
-17.587008,8,70.692342
-28.626812,4,70.696872
-55.878935,13,70.710521
-52.461289,3,70.714016
-79.14405,22,70.737165
-46.51068,3,70.740576
-8.91039,41,70.783698
-29.601419,12,70.796699
-81.47864,34,70.833194
-75.643485,118,70.958805
-31.397576,20,70.979734
579.151699,15,70.995807
-8.021849,20,71.017558
-48.972227,15,71.034505
-84.142136,140,71.187611
-71.355339,10,71.198376
9.96966,17,71.216497
-31.775226,8,71.225166
-53.760282,22,72.53839
-65.9,48,72.597203
-42.183334,21,72.620849
-540.465835,178,72.846941
-33.976514,37,72.887645
-52.704902,24,72.916232
-33.8765,8,72.925813
-51.9467,83,73.030854
-55.95,9,73.043061
-53.097675,10,73.053932
-30.970369,14,73.069846
3.812803,17,73.089172
-66.520524,20,73.113694
-42.198352,11,73.126371
-44.28675,33,73.16195
-12.644369,26,73.189828
-39.297787,13,73.204357
-23.05,11,73.216217
-40.158866,92,73.312484
-126.131983,82,73.403302
-10.305711,11,73.415196
-38.473593,48,73.467739
-105.342136,24,73.494116
-26.651915,25,73.520463
-19.413084,13,73.534472
-15.721077,20,73.556018
-46.113203,18,73.575666
-53.518243,22,73.599789
-0.182865,60,73.663613
