episode,r,l
379,-40.39501060373883,47
380,-56.453767117186416,364
381,-34.61154941221568,94
382,-26.755477227164768,111
383,-197.33419203502683,142
384,-37.29581411767195,173
385,-42.94693845669906,175
386,-38.12898384295328,18
387,-45.09501833645624,34
388,-36.21055472954291,103
389,-36.47583392532964,174
390,-92.98528137423841,200
391,-52.96021977856103,8
392,-46.60534050942979,366
393,-38.23907146724393,360
394,-31.932502752250578,230
395,-17.842153584353973,235
396,-33.672180252412744,89
397,-41.22566391584581,13
398,-32.87389110793769,56
399,-39.46190378969061,86
400,-65.18961017995309,71
401,-37.212815421734604,137
402,-30.610714169965828,313
403,-46.14999999999999,73
404,-19.96786250536301,74
405,-36.289276294959755,85
406,-45.14649149801724,39
407,-39.73920331986746,113
408,-44.00168401112957,288
409,-257.4794388540551,335
410,-48.79693845669907,12
411,-59.03324958071081,138
412,-32.146174474494494,87
413,-90.84468024894126,167
414,-71.43750305026879,331
415,-108.54532633418899,93
416,-50.17455532033676,117
417,-80.89427190999916,349
418,-90.68009521374837,146
419,-90.07942942297075,323
420,-30.206207535952384,314
421,-53.001554399114475,71
422,-46.02779489814405,179
423,-87.57056274847707,92
424,-45.072940822081755,88
425,-47.71083986019848,102
426,-60.621572875253804,319
427,-35.683115916054646,40
428,-31.92409692781401,93
429,-75.18411251986612,187
430,-50.048299531903865,219
431,-92.066091947189,168
432,-69.4651513899117,296
433,-52.278355016801186,338
434,-39.11410161513775,23
435,519.25,125
436,-66.00624847486569,154
437,-51.084143809945054,63
438,-89.23511213914782,66
439,-44.17679989300488,5
440,506.77213595499956,4
441,503.7,176
442,-124.83569816370432,76
443,-53.12902439226356,228
444,-39.35,307
445,-82.44994432064367,270
446,-60.12858830175246,336
447,-40.990960514448325,334
448,-25.56091108541421,250
449,-89.93430724903884,70
450,-54.1087594532111,359
451,-24.779143998559196,346
452,-28.70000000000005,344
453,-48.79595633621928,30
454,-29.298851913415305,112
455,-20.803518315628406,175
456,-26.704931611350595,352
457,-59.84897948556639,339
458,-43.60590340345461,21
459,-37.8500363784903,166
